date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-12-15,2860.0,2860.0,2860.0,2860.0,7682909520,2686332,223,1000.0,2860.0
2019-12-16,2860.0,3003.0,2717.0,2889.0,34791970679,12041208,2208,2860.0,3002.0
2019-12-17,3000.0,3000.0,2745.0,2764.0,15796421792,5715813,989,2889.0,2745.0
2019-12-18,2627.0,2850.0,2626.0,2704.0,15127971766,5595118,803,2764.0,2689.0
2019-12-21,2690.0,2690.0,2569.0,2578.0,10373595388,4024478,505,2704.0,2569.0
2019-12-22,2510.0,2675.0,2450.0,2517.0,6902804020,2742690,607,2578.0,2524.0
2019-12-23,2560.0,2598.0,2392.0,2444.0,5961139249,2439022,450,2517.0,2442.0
2019-12-24,2440.0,2440.0,2322.0,2347.0,3671477192,1564293,329,2444.0,2383.0
2019-12-25,2400.0,2410.0,2261.0,2349.0,2310225906,983690,258,2347.0,2380.0
2019-12-28,2438.0,2466.0,2345.0,2435.0,3096011961,1271502,303,2349.0,2405.0
2019-12-29,2355.0,2449.0,2314.0,2363.0,14239672756,6026011,475,2435.0,2379.0
2019-12-30,2400.0,2481.0,2400.0,2477.0,1599372334,645722,127,2363.0,2481.0
2019-12-31,2547.0,2547.0,2382.0,2480.0,3082314882,1242670,212,2477.0,2438.0
2020-01-01,2401.0,2487.0,2382.0,2412.0,2918443535,1210198,341,2480.0,2396.0
2020-01-04,2292.0,2292.0,2292.0,2292.0,98450568,42954,20,2412.0,2292.0
2020-01-05,2178.0,2319.0,2178.0,2179.0,5885988189,2701623,198,2292.0,2178.0
2020-01-07,2080.0,2140.0,2071.0,2078.0,1331707623,640882,88,2179.0,2071.0
2020-01-08,2037.0,2037.0,2037.0,2037.0,34512891,16943,7,2078.0,2037.0
2020-01-11,2077.0,2077.0,2077.0,2077.0,1755663176,845288,67,2037.0,2077.0
2020-01-12,2180.0,2180.0,2175.0,2180.0,6426565131,2948104,232,2077.0,2180.0
2020-01-13,2190.0,2289.0,2125.0,2250.0,4706134334,2091389,237,2180.0,2289.0
2020-01-14,2159.0,2300.0,2138.0,2158.0,3372280272,1562746,250,2250.0,2150.0
2020-01-15,2065.0,2196.0,2051.0,2095.0,3200312575,1527812,236,2158.0,2128.0
2020-01-18,2169.0,2199.0,2064.0,2183.0,4655551133,2132987,345,2095.0,2199.0
2020-01-19,2246.0,2286.0,2131.0,2228.0,4644772860,2084751,280,2183.0,2258.0
2020-01-20,2145.0,2289.0,2145.0,2226.0,1797063800,807216,143,2228.0,2222.0
2020-01-21,2250.0,2300.0,2150.0,2178.0,2896437095,1329643,177,2226.0,2199.0
2020-01-22,2225.0,2225.0,2138.0,2211.0,2489574376,1125913,155,2178.0,2177.0
2020-01-25,2203.0,2261.0,2140.0,2229.0,5100458005,2288094,328,2211.0,2250.0
2020-01-26,2260.0,2295.0,2202.0,2228.0,9953521813,4467125,362,2229.0,2234.0
2020-01-27,2299.0,2299.0,2222.0,2243.0,4619960241,2059640,244,2228.0,2230.0
2020-01-28,2240.0,2250.0,2204.0,2213.0,4497417107,2032019,226,2243.0,2206.0
2020-02-01,2268.0,2268.0,2134.0,2188.0,2976711419,1360250,211,2213.0,2172.0
